BENCH,CTIME_BIG,CTIME_SMALL
astar06,559534,1051082
bwaves06,2139063,6727011
bzip206,352073,659065
cactusADM06,3360535,8363537
calculix06,3106057,5178048
dealII06,1080030,2787528
gamess06,51055,150524
gcc06,92017,167038
GemsFDTD06,1589525,5795545
gobmk06,233072,418086
gromacs06,1345050,3372068
h264ref06,235022,460553
hmmer06,453029,1208515
lbm06,1774070,3746029
leslie3d06,1669516,4174541
libquantum06,1441045,2224560
libquantumL06,223075,350810
mcf06,1653523,3643069
milc06,1237068,2989524
namd06,1590592,2973535
omnetpp06,1303539,2309554
perlbench06,822555,1664029
povray06,814527,1809084
sjeng06,2037073,3658558
soplex06,564031,1442522
tonto06,2439572,4745046
wrf06,2006041,4499016
xalancbmk06,1083049,2069080
zeusmp06,1640547,3927520
ammp00,276549,580575
applu00,240040,624021
apsi00,319526,593553
art00,74559,187029
bzip200,71537,145074
crafty00,113076,236542
eon00,34010,71546
equake00,110583,340069
facerec00,197588,315550
fma3d00,200558,409577
galgel00,171034,542535
gap00,45046,93035
gcc00,19077,34045
gzip00,101015,172002
lucas00,113546,274057
mcf00,257032,526565
mesa00,126060,287526
mgrid00,355563,780061
parser00,294567,496039
perlbmk00,52539,117073
sixtrack00,327565,740554
swim00,199470,880570
twolf00,263032,603558
vortex00,64066,155056
vpr00,101017,206015
wupwise00,180065,466579
bwavesL06,142013,543996
cactusADML06,126046,350031
GemsFDTDL06,162019,579049
lbmL06,115595,254033
libquantumL06,209502,345550
mcfL06,142486,305055
milcL06,154084,371546
namdL06,166036,314061
sjengL06,124066,221569
